year,heat,flood,tornado,hurricane,lightning,cold,wind,winter_storm,rip_current
2004,36,86,36,34,32,19,51,10,29
2005,158,43,38,1094,38,34,47,18,49
2006,253,76,67,0,48,51,57,17,50
2007,105,87,81,0,45,44,57,16,68
2008,126,82,126,0,27,48,53,16,87
2009,105,59,21,0,34,36,38,15,60
2010,138,103,45,0,29,37,48,10,63
2011,206,113,553,0,26,20,59,13,63
2012,155,98,70,0,28,31,41,10,45
2013,92,82,55,0,23,27,40,14,60
2014,42,40,47,0,26,30,55,17,57
2015,74,176,36,0,27,53,65,22,56
2016,122,126,18,0,31,40,53,19,57
2017,107,116,35,0,16,43,49,16,60
2018,119,107,10,0,20,52,63,21,60
2019,115,100,41,0,20,54,41,16,67
2020,209,127,76,0,17,55,62,21,100
2021,234,148,101,0,12,26,68,74,66
2022,254,203,89,0,18,44,70,27,78
2023,368,111,80,0,18,48,61,40,82
2024,529,149,52,78,14,46,32,22,74
